retrieval_mode,sample_id,question,answerable,tags,retrieved_count,retrieval_hit,retrieval_recall,retrieval_precision,reciprocal_rank,empty_result,duplicate_count,duplicate_rate,no_answer_false_positive,grounded_criteria_coverage,evidence_source_correct,embedding_latency_ms,search_latency_ms,latency_ms,search_repetitions,ranking_stability_rate,error
dense,milvus-021,除了向量近邻搜索，Milvus 还提到了哪些文本或结果处理能力？,True,"同义表达,检索",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,250.345,403.338,653.683,3,1,
dense,milvus-022,开发者可以通过哪些 API 或 SDK 使用 Milvus？,True,"多事实,开发",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,257.082,400.199,657.28,3,1,
dense,milvus-023,Milvus 支持哪些高级数据类型和距离度量相关能力？,True,"多事实,数据模型",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,510.199,399.495,909.695,3,1,
dense,milvus-024,资料列出的数据治理和隔离能力有哪些？,True,"多事实,治理",5,True,1.0,0.2,1.0,False,0,0.0,,0.6,True,235.903,396.726,632.629,3,1,
dense,milvus-025,Milvus 生态中有哪些开发、运维或集成工具？,True,"多事实,生态",5,True,1.0,0.4,1.0,False,0,0.0,,0.8571428571428571,True,260.78,418.978,679.758,3,1,
dense,milvus-026,Milvus 云服务每月的精确价格是多少？,False,"无答案,价格",5,,,,,False,0,0.0,True,,,264.124,200.477,464.602,3,1,
dense,milvus-027,Milvus 创始人和当前 CEO 分别是谁？,False,"无答案,人物",5,,,,,False,0,0.0,True,,,240.103,408.014,648.116,3,1,
dense,milvus-028,Milvus 官方支持的操作系统完整清单是什么？,False,"无答案,兼容性",5,,,,,False,0,0.0,True,,,258.288,408.072,666.359,3,1,
dense,milvus-029,Milvus 第一个正式版本的精确发布日期是哪一天？,False,"无答案,历史",5,,,,,False,0,0.0,True,,,248.946,389.287,638.233,3,1,
dense,milvus-030,Milvus 对 SQL JOIN 和跨表 ACID 事务提供了什么保证？,False,"无答案,数据库能力",5,,,,,False,0,0.0,True,,,258.867,392.081,650.948,3,1,
bm25,milvus-001,Milvus 是什么，主要用来处理哪类数据？,True,"事实,定义",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.3333333333333333,True,524.86,412.153,937.013,3,1,
bm25,milvus-002,Milvus 的部署范围和产品形态有哪些？,True,"多事实,部署",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.25,True,870.11,1658.368,2528.478,3,1,
bm25,milvus-003,Milvus 隶属哪个基金会项目，使用什么许可证？,True,"事实,开源",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.0,True,706.6,1059.917,1766.517,3,1,
bm25,milvus-004,资料提到了哪些机构参与 Milvus 贡献？,True,"事实,生态",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.0,True,643.468,1275.199,1918.668,3,1,
bm25,milvus-005,向量数据库可管理哪些非结构化内容的嵌入？请举例。,True,"事实,同义表达",0,False,0.0,0.0,0.0,True,0,0.0,,0.0,False,481.622,409.232,890.854,3,1,
bm25,milvus-006,Milvus 在数据建模方面支持哪些常见字段类型？,True,"事实,数据模型",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.5,True,234.399,397.604,632.003,3,1,
bm25,milvus-007,Milvus 有哪三种部署模式？,True,"事实,部署",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.3333333333333333,True,324.01,405.181,729.191,3,1,
bm25,milvus-008,适合在笔记本或原型环境中使用的是哪种 Milvus 形态？,True,"同义表达,部署",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.0,True,237.749,397.879,635.628,3,1,
bm25,milvus-009,单机生产部署通常选择哪种 Milvus 模式？,True,"同义表达,部署",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,0.0,True,269.114,400.06,669.174,3,1,
bm25,milvus-010,需要横向扩展的大规模场景应选择哪种部署？,True,"同义表达,部署",0,False,0.0,0.0,0.0,True,0,0.0,,0.0,False,246.764,392.377,639.141,3,1,
bm25,milvus-011,资料中的基准测试称 Milvus 性能领先多少倍？,True,"事实,性能",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,1.0,True,249.444,418.403,667.847,3,1,
bm25,milvus-012,Milvus 利用了哪些硬件能力来提升向量检索性能？,True,"多事实,性能",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,1.0,True,223.074,406.449,629.523,3,1,
bm25,milvus-013,Milvus 支持哪些代表性向量索引，索引优化可带来多大提升？,True,"多事实,索引",5,True,1.0,0.2,0.3333333333333333,False,0,0.0,,1.0,True,238.965,388.213,627.178,3,1,
bm25,milvus-014,Milvus 核心引擎主要用什么语言编写，占比如何？,True,"事实,架构",5,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,277.282,407.104,684.386,3,1,
bm25,milvus-015,列式存储给 Milvus 带来什么好处？,True,"解释,架构",5,False,0.0,0.0,0.0,False,0,0.0,,0.25,False,241.354,401.771,643.125,3,1,
bm25,milvus-016,资料如何描述 Milvus 在 2022、2023 年的数据规模和企业采用情况？,True,"多事实,规模",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,276.343,379.404,655.747,3,1,
bm25,milvus-017,Milvus 为什么能够独立扩展不同工作负载？,True,"解释,架构",5,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,239.913,398.254,638.168,3,1,
bm25,milvus-018,Milvus 的 Search、Data 和 Index 节点分别负责什么？,True,"多事实,架构",5,True,1.0,0.8,0.5,False,0,0.0,,1.0,True,253.157,407.212,660.369,3,1,
bm25,milvus-019,Milvus 提供了哪些检索或查询能力？,True,"多事实,检索",5,False,0.0,0.0,0.0,False,0,0.0,,0.3333333333333333,False,226.441,193.082,419.523,3,1,
bm25,milvus-020,ANN、标量过滤、范围搜索和混合搜索的用途有何区别？,True,"解释,多跳,检索",4,True,1.0,0.4,1.0,False,0,0.0,,0.75,True,243.068,365.431,608.498,3,1,
bm25,milvus-021,除了向量近邻搜索，Milvus 还提到了哪些文本或结果处理能力？,True,"同义表达,检索",5,False,0.0,0.0,0.0,False,0,0.0,,0.0,False,250.345,389.948,640.293,3,1,
bm25,milvus-022,开发者可以通过哪些 API 或 SDK 使用 Milvus？,True,"多事实,开发",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,257.082,403.629,660.711,3,1,
bm25,milvus-023,Milvus 支持哪些高级数据类型和距离度量相关能力？,True,"多事实,数据模型",5,True,1.0,0.4,0.25,False,0,0.0,,0.0,True,510.199,404.857,915.057,3,1,
bm25,milvus-024,资料列出的数据治理和隔离能力有哪些？,True,"多事实,治理",0,False,0.0,0.0,0.0,True,0,0.0,,0.0,False,235.903,387.924,623.827,3,1,
bm25,milvus-025,Milvus 生态中有哪些开发、运维或集成工具？,True,"多事实,生态",5,True,1.0,0.4,1.0,False,0,0.0,,0.8571428571428571,True,260.78,405.437,666.217,3,1,
bm25,milvus-026,Milvus 云服务每月的精确价格是多少？,False,"无答案,价格",5,,,,,False,0,0.0,True,,,264.124,410.979,675.103,3,1,
bm25,milvus-027,Milvus 创始人和当前 CEO 分别是谁？,False,"无答案,人物",5,,,,,False,0,0.0,True,,,240.103,396.986,637.089,3,1,
bm25,milvus-028,Milvus 官方支持的操作系统完整清单是什么？,False,"无答案,兼容性",5,,,,,False,0,0.0,True,,,258.288,399.724,658.012,3,1,
bm25,milvus-029,Milvus 第一个正式版本的精确发布日期是哪一天？,False,"无答案,历史",5,,,,,False,0,0.0,True,,,248.946,398.762,647.708,3,1,
bm25,milvus-030,Milvus 对 SQL JOIN 和跨表 ACID 事务提供了什么保证？,False,"无答案,数据库能力",5,,,,,False,0,0.0,True,,,258.867,397.347,656.215,3,1,
hybrid,milvus-001,Milvus 是什么，主要用来处理哪类数据？,True,"事实,定义",5,True,1.0,0.4,0.5,False,0,0.0,,1.0,True,524.86,648.415,1173.275,3,1,
hybrid,milvus-002,Milvus 的部署范围和产品形态有哪些？,True,"多事实,部署",5,True,1.0,0.6,1.0,False,0,0.0,,0.75,True,870.11,2132.587,3002.697,3,1,
hybrid,milvus-003,Milvus 隶属哪个基金会项目，使用什么许可证？,True,"事实,开源",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,706.6,1658.723,2365.322,3,1,
hybrid,milvus-004,资料提到了哪些机构参与 Milvus 贡献？,True,"事实,生态",5,True,1.0,0.4,0.5,False,0,0.0,,0.7142857142857143,True,643.468,1189.128,1832.596,3,1,
hybrid,milvus-005,向量数据库可管理哪些非结构化内容的嵌入？请举例。,True,"事实,同义表达",5,True,1.0,0.4,1.0,False,0,0.0,,0.75,True,481.622,411.036,892.657,3,1,
hybrid,milvus-006,Milvus 在数据建模方面支持哪些常见字段类型？,True,"事实,数据模型",5,True,1.0,0.4,0.3333333333333333,False,0,0.0,,0.75,True,234.399,417.397,651.797,3,1,
hybrid,milvus-007,Milvus 有哪三种部署模式？,True,"事实,部署",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,324.01,406.357,730.367,3,1,
hybrid,milvus-008,适合在笔记本或原型环境中使用的是哪种 Milvus 形态？,True,"同义表达,部署",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,237.749,412.743,650.492,3,1,
hybrid,milvus-009,单机生产部署通常选择哪种 Milvus 模式？,True,"同义表达,部署",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,269.114,507.831,776.945,3,1,
hybrid,milvus-010,需要横向扩展的大规模场景应选择哪种部署？,True,"同义表达,部署",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,246.764,413.282,660.046,3,1,
hybrid,milvus-011,资料中的基准测试称 Milvus 性能领先多少倍？,True,"事实,性能",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,249.444,396.707,646.151,3,1,
hybrid,milvus-012,Milvus 利用了哪些硬件能力来提升向量检索性能？,True,"多事实,性能",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,223.074,375.566,598.64,3,1,
hybrid,milvus-013,Milvus 支持哪些代表性向量索引，索引优化可带来多大提升？,True,"多事实,索引",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,238.965,399.853,638.817,3,1,
hybrid,milvus-014,Milvus 核心引擎主要用什么语言编写，占比如何？,True,"事实,架构",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,277.282,422.043,699.325,3,1,
hybrid,milvus-015,列式存储给 Milvus 带来什么好处？,True,"解释,架构",5,True,1.0,0.2,0.5,False,0,0.0,,0.75,True,241.354,357.743,599.098,3,1,
hybrid,milvus-016,资料如何描述 Milvus 在 2022、2023 年的数据规模和企业采用情况？,True,"多事实,规模",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,276.343,395.12,671.463,3,1,
hybrid,milvus-017,Milvus 为什么能够独立扩展不同工作负载？,True,"解释,架构",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,239.913,402.259,642.172,3,1,
hybrid,milvus-018,Milvus 的 Search、Data 和 Index 节点分别负责什么？,True,"多事实,架构",5,True,1.0,0.6,1.0,False,0,0.0,,1.0,True,253.157,403.988,657.145,3,1,
hybrid,milvus-019,Milvus 提供了哪些检索或查询能力？,True,"多事实,检索",5,True,1.0,0.4,1.0,False,0,0.0,,1.0,True,226.441,410.441,636.882,3,1,
hybrid,milvus-020,ANN、标量过滤、范围搜索和混合搜索的用途有何区别？,True,"解释,多跳,检索",5,True,1.0,0.6,1.0,False,0,0.0,,0.75,True,243.068,420.065,663.133,3,1,
hybrid,milvus-021,除了向量近邻搜索，Milvus 还提到了哪些文本或结果处理能力？,True,"同义表达,检索",5,True,1.0,0.4,0.5,False,0,0.0,,1.0,True,250.345,381.44,631.785,3,1,
hybrid,milvus-022,开发者可以通过哪些 API 或 SDK 使用 Milvus？,True,"多事实,开发",5,True,1.0,0.2,1.0,False,0,0.0,,1.0,True,257.082,399.525,656.607,3,1,
hybrid,milvus-023,Milvus 支持哪些高级数据类型和距离度量相关能力？,True,"多事实,数据模型",5,True,1.0,0.2,0.5,False,0,0.0,,1.0,True,510.199,403.181,913.38,3,1,
hybrid,milvus-024,资料列出的数据治理和隔离能力有哪些？,True,"多事实,治理",5,True,1.0,0.2,1.0,False,0,0.0,,0.6,True,235.903,363.318,599.221,3,1,
hybrid,milvus-025,Milvus 生态中有哪些开发、运维或集成工具？,True,"多事实,生态",5,True,1.0,0.4,1.0,False,0,0.0,,0.8571428571428571,True,260.78,372.548,633.327,3,1,
hybrid,milvus-026,Milvus 云服务每月的精确价格是多少？,False,"无答案,价格",5,,,,,False,0,0.0,True,,,264.124,394.484,658.608,3,1,
hybrid,milvus-027,Milvus 创始人和当前 CEO 分别是谁？,False,"无答案,人物",5,,,,,False,0,0.0,True,,,240.103,369.053,609.156,3,1,
hybrid,milvus-028,Milvus 官方支持的操作系统完整清单是什么？,False,"无答案,兼容性",5,,,,,False,0,0.0,True,,,258.288,403.612,661.899,3,1,
hybrid,milvus-029,Milvus 第一个正式版本的精确发布日期是哪一天？,False,"无答案,历史",5,,,,,False,0,0.0,True,,,248.946,409.866,658.812,3,1,
hybrid,milvus-030,Milvus 对 SQL JOIN 和跨表 ACID 事务提供了什么保证？,False,"无答案,数据库能力",5,,,,,False,0,0.0,True,,,258.867,397.043,655.91,3,1,
